state/region,ages,year,population,state,area (sq. mi),인구밀도
PA,total,2004.0,12410722.0,Pennsylvania,46058.0,269.45855226019364
PA,under18,2004.0,2873125.0,Pennsylvania,46058.0,62.3805853489079
PA,total,2002.0,12331031.0,Pennsylvania,46058.0,267.7283208128881
PA,under18,2002.0,2894935.0,Pennsylvania,46058.0,62.85411871987494
PA,total,2001.0,12298970.0,Pennsylvania,46058.0,267.0322202440401
PA,under18,2001.0,2905836.0,Pennsylvania,46058.0,63.090798558339486
PA,total,1999.0,12263805.0,Pennsylvania,46058.0,266.2687263884667
PA,under18,1999.0,2930193.0,Pennsylvania,46058.0,63.61963176863954
PA,total,2000.0,12284173.0,Pennsylvania,46058.0,266.7109514090929
PA,under18,2000.0,2918850.0,Pennsylvania,46058.0,63.37335533457814
PA,total,1997.0,12227814.0,Pennsylvania,46058.0,265.48729862347477
PA,under18,1997.0,2942240.0,Pennsylvania,46058.0,63.88119327804073
PA,under18,1998.0,2940285.0,Pennsylvania,46058.0,63.83874679751617
PA,total,1998.0,12245672.0,Pennsylvania,46058.0,265.87502713969343
PA,under18,1996.0,2937411.0,Pennsylvania,46058.0,63.776347214381865
PA,total,1996.0,12220464.0,Pennsylvania,46058.0,265.3277172261062
PA,total,1995.0,12198403.0,Pennsylvania,46058.0,264.8487342046984
PA,under18,1995.0,2941531.0,Pennsylvania,46058.0,63.865799643927225
PA,under18,1994.0,2932851.0,Pennsylvania,46058.0,63.677341612749146
PA,total,1994.0,12166050.0,Pennsylvania,46058.0,264.1462938034652
PA,under18,1992.0,2873013.0,Pennsylvania,46058.0,62.378153632376566
PA,total,1992.0,12049450.0,Pennsylvania,46058.0,261.61470320031265
PA,total,1993.0,12119724.0,Pennsylvania,46058.0,263.1404750531938
PA,under18,1993.0,2907351.0,Pennsylvania,46058.0,63.123691866776674
PA,total,1991.0,11982164.0,Pennsylvania,46058.0,260.1538060706066
PA,under18,1991.0,2830059.0,Pennsylvania,46058.0,61.445546919102
PA,under18,1990.0,2799168.0,Pennsylvania,46058.0,60.77484910330453
PA,total,1990.0,11903299.0,Pennsylvania,46058.0,258.44150853271964
,,,,Puerto Rico,3515.0,
RI,under18,1990.0,225923.0,Rhode Island,1545.0,146.2284789644013
RI,total,1990.0,1005995.0,Rhode Island,1545.0,651.1294498381877
RI,total,1991.0,1010649.0,Rhode Island,1545.0,654.1417475728156
RI,under18,1991.0,229448.0,Rhode Island,1545.0,148.51003236245955
RI,total,1993.0,1015113.0,Rhode Island,1545.0,657.031067961165
RI,under18,1993.0,237218.0,Rhode Island,1545.0,153.5391585760518
RI,under18,1992.0,232630.0,Rhode Island,1545.0,150.5695792880259
RI,total,1992.0,1012581.0,Rhode Island,1545.0,655.3922330097088
